NORAD_CAT_ID,OBJECT_NAME,EPOCH,BSTAR,INCLINATION,RA_OF_ASC_NODE,ECCENTRICITY,ARG_OF_PERICENTER,MEAN_ANOMALY,MEAN_MOTION,SOURCE_URL,RETRIEVED_AT
33906,COSMOS 2251 DEB,2026-08-25T15:09:56.459808,0.0010678,74.0278,193.616,0.0033921,172.3768,2.3858,14.60583777,CelesTrak (Manual Download),20260826T042208Z
33907,COSMOS 2251 DEB,2026-08-25T03:09:35.469792,0.0010523169,74.0682,288.5671,0.01177531,282.5737,105.8271,14.33212743,CelesTrak (Manual Download),20260826T042208Z
33908,COSMOS 2251 DEB,2026-08-25T02:00:11.223072,0.00094007638,73.8358,111.9068,0.02194299,89.5158,273.1117,14.09052118,CelesTrak (Manual Download),20260826T042208Z
33911,COSMOS 2251 DEB,2026-08-24T14:22:31.027008,0.0012808022,74.0898,22.89,0.00104264,248.1729,236.8204,14.80769339,CelesTrak (Manual Download),20260826T042208Z
33912,COSMOS 2251 DEB,2026-08-24T00:09:40.724640,0.00042808873,74.0317,70.1279,0.00106479,90.2229,62.9386,14.53245984,CelesTrak (Manual Download),20260826T042208Z
33913,COSMOS 2251 DEB,2026-08-25T12:14:15.880128,0.0003654344,74.032,64.0392,0.00468146,103.8698,287.0119,14.49368435,CelesTrak (Manual Download),20260826T042208Z
33914,COSMOS 2251 DEB,2026-08-25T11:17:59.414784,0.0001565973,74.091,313.496,0.03042205,356.7668,16.0765,13.72267963,CelesTrak (Manual Download),20260826T042208Z
33915,COSMOS 2251 DEB,2026-08-25T20:04:52.055040,0.00021207028,74.0416,284.4859,0.01072352,313.4089,164.1878,14.35687496,CelesTrak (Manual Download),20260826T042208Z
33916,COSMOS 2251 DEB,2026-08-25T08:03:14.628672,0.00014868221,74.0539,340.558,0.03232231,95.6291,323.3104,13.68809986,CelesTrak (Manual Download),20260826T042208Z
33917,COSMOS 2251 DEB,2026-08-25T22:15:00.063648,0.0011573929,74.1039,62.0643,0.03334086,102.4284,261.4352,13.69977607,CelesTrak (Manual Download),20260826T042208Z
